YEAR,STRATUM,AOU,SPECIES,POP,SEPOP,VCF,SEVCF,POOL,CODE
1955,1,1460,Redhead,0,39.83,3.11,0.24,,1
1955,1,1470,Canvasback,0,2173.12,2.43,0.46,,1
1955,2,1460,Redhead,0,172.5,3.11,0.24,,1
1955,2,1470,Canvasback,0,916.38,2.43,0.46,,1
1955,3,1460,Redhead,0,1950.59,3.11,0.24,,1
1955,3,1470,Canvasback,10947.81,14628.84,2.43,0.46,,1
1955,4,1460,Redhead,0,2773.33,3.11,0.24,,1
1955,4,1470,Canvasback,23810.29,37130.84,2.43,0.46,,1
1955,5,1460,Redhead,14.86,227.18,3.11,0.24,,1
1955,5,1470,Canvasback,0,3440.05,2.43,0.46,,1
1955,6,1460,Redhead,0,140.77,3.11,0.24,,1
1955,6,1470,Canvasback,421.17,2625.87,2.43,0.46,,1
1955,7,1460,Redhead,43.68,124.8,3.11,0.24,,1
1955,7,1470,Canvasback,160.74,1380.49,2.43,0.46,,1
1955,8,1460,Redhead,0,0,3.09,0.24,,1
1955,8,1470,Canvasback,9.61,734.09,2.43,0.46,,1
1955,9,1460,Redhead,0,374.97,3.09,0.24,,1
1955,9,1470,Canvasback,282.29,5836.84,2.43,0.46,,1
1955,10,1460,Redhead,0,664.24,3.09,0.24,,1
1955,10,1470,Canvasback,564.93,2393.33,2.43,0.46,,1
1955,11,1460,Redhead,0,185.75,3.09,0.24,,1
1955,11,1470,Canvasback,515.72,5973.74,2.43,0.46,,1
1955,12,1460,Redhead,17.99,711,3.11,0.24,,1
1955,12,1470,Canvasback,11878.33,11631.34,2.59,0.46,,1
1955,13,1460,Redhead,0,1849.78,3.11,0.24,,1
1955,13,1470,Canvasback,3043.66,12347.32,2.59,0.46,,1
1955,14,1460,Redhead,0,1427.94,3.11,0.24,,1
1955,14,1470,Canvasback,478.39,4583.98,2.59,0.46,,1
1955,15,1460,Redhead,0,986.12,3.11,0.24,,1
1955,15,1470,Canvasback,3931.99,5558.26,2.59,0.46,,1
1955,16,1460,Redhead,0,3154.08,3.11,0.24,,1
1955,16,1470,Canvasback,0,1307.38,2.59,0.46,,1
1955,17,1460,Redhead,1196.59,7355.74,3.11,0.24,,1
1955,17,1470,Canvasback,4851.59,22759.87,2.59,0.46,,1
1955,18,1460,Redhead,0,1583.22,3.11,0.24,,1
1955,18,1470,Canvasback,0,18032.13,2.59,0.46,,1
1955,20,1460,Redhead,20433.94,5463.58,3.11,0.24,,1
1955,20,1470,Canvasback,25884.06,11833.11,2.59,0.46,,1
1955,21,1460,Redhead,0,0,3.11,0.24,,0
1955,21,1470,Canvasback,0,0,2.59,0.46,,0
1955,22,1460,Redhead,5186,5135,3.11,0.24,,0
1955,22,1470,Canvasback,10383,5564,2.59,0.46,,0
1955,23,1460,Redhead,11794,11916,3.11,0.24,,0
1955,23,1470,Canvasback,11947,6589,2.59,0.46,,0
1955,24,1460,Redhead,13456,14057,3.11,0.24,,0
1955,24,1470,Canvasback,0,0,2.59,0.46,,0
1955,25,1460,Redhead,23926,4915,3.11,0.24,,0
1955,25,1470,Canvasback,43842,8309,2.59,0.46,,0
1955,26,1460,Redhead,78596,16453,4.16,0.53,,0
1955,26,1470,Canvasback,74133,15986,2.82,0.37,,0
1955,27,1460,Redhead,11381,3992,4.16,0.53,,0
1955,27,1470,Canvasback,6852,2388,2.82,0.37,,0
1955,28,1460,Redhead,25089,7363,4.16,0.53,,0
1955,28,1470,Canvasback,11329,3650,2.82,0.37,,0
1955,29,1460,Redhead,25438,13784,4.16,0.53,,0
1955,29,1470,Canvasback,3926,1944,2.82,0.37,,0
1955,30,1460,Redhead,18272,10331,5.84,0.99,,0
1955,30,1470,Canvasback,68815,45662,2.96,0.41,,0
1955,31,1460,Redhead,96766,41162,5.84,0.99,,0
1955,31,1470,Canvasback,97043,32456,2.96,0.41,,0
1955,32,1460,Redhead,66433,20479,5.84,0.99,,0
1955,32,1470,Canvasback,56181,13414,2.96,0.41,,0
1955,33,1460,Redhead,5894,3050,5.84,0.99,,0
1955,33,1470,Canvasback,2238,1440,2.96,0.41,,0
1955,34,1460,Redhead,20055,8890,4.14,0.62,,0
1955,34,1470,Canvasback,27982,7991,2.37,0.46,,0
1955,35,1460,Redhead,8018,2259,4.14,0.62,,0
1955,35,1470,Canvasback,13975,5551,2.37,0.46,,0
1955,36,1460,Redhead,0,2620.98,4.14,0.62,,3
1955,36,1470,Canvasback,0,3305.75,2.37,0.46,,3
1955,37,1460,Redhead,16047,10761,4.14,0.62,,0
1955,37,1470,Canvasback,7163,2689,2.37,0.46,,0
1955,38,1460,Redhead,0,0,4.14,0.62,,0
1955,38,1470,Canvasback,0,0,2.37,0.46,,0
1955,39,1460,Redhead,7177,2293,4.14,0.62,,0
1955,39,1470,Canvasback,9930,3123,2.37,0.46,,0
1955,40,1460,Redhead,19134,7656,4.14,0.62,,0
1955,40,1470,Canvasback,19570,7026,2.37,0.46,,0
1955,41,1460,Redhead,4899.97,5295.85,1.61,0.53,,1
1955,41,1470,Canvasback,9029.29,5020.06,2.02,0.7,,1
1955,42,1460,Redhead,0,4060.15,1.61,0.53,,1
1955,42,1470,Canvasback,7.45,2454.59,2.02,0.7,,1
1955,43,1460,Redhead,0,3774.18,1.61,0.53,,1
1955,43,1470,Canvasback,0,2947.67,2.02,0.7,,1
1955,44,1460,Redhead,85.48,1754.87,1.61,0.53,,1
1955,44,1470,Canvasback,0,1926.45,2.02,0.7,,1
1955,45,1460,Redhead,6215.87,51583.57,8.77,1.28,,1
1955,45,1470,Canvasback,4614.05,13643.08,1.97,0.31,,1
1955,46,1460,Redhead,0,37197.74,8.77,1.28,,1
1955,46,1470,Canvasback,6936.57,6887.45,1.97,0.31,,1
1955,47,1460,Redhead,881.86,3087.25,8.77,1.28,,1
1955,47,1470,Canvasback,12.53,706.49,1.97,0.31,,1
1955,48,1460,Redhead,1749.17,39408.96,8.77,1.28,,1
1955,48,1470,Canvasback,2015.47,5657.51,1.97,0.31,,1
1955,49,1460,Redhead,0,10599.67,8.77,1.28,,1
1955,49,1470,Canvasback,0,1597.08,1.97,0.31,,1
1955,50,1460,Redhead,0,0,3.11,0.24,,0
1955,50,1470,Canvasback,0,0,2.59,0.46,,0
1955,75,1460,Redhead,4217.12,8525.89,3.11,0.24,,1
1955,75,1470,Canvasback,6773.73,15226.8,2.59,0.46,,1
1955,76,1460,Redhead,37253.38,16334.52,3.11,0.24,,1
1955,76,1470,Canvasback,543.5,12778.39,2.59,0.46,,1
1955,77,1460,Redhead,10271.31,11248.49,3.11,0.24,,1
1955,77,1470,Canvasback,7234.69,8745.67,2.59,0.46,,1
1956,1,1460,Redhead,0,39.4,3.11,0.24,,1
1956,1,1470,Canvasback,0,2152.75,2.43,0.46,,1
1956,2,1460,Redhead,0,170.66,3.11,0.24,,1
1956,2,1470,Canvasback,0,907.35,2.43,0.46,,1
1956,3,1460,Redhead,0,1926.98,3.11,0.24,,1
1956,3,1470,Canvasback,11530.67,14532.28,2.43,0.46,,1
1956,4,1460,Redhead,0,2730.6,3.11,0.24,,1
1956,4,1470,Canvasback,25693.17,36781.85,2.43,0.46,,1
1956,5,1460,Redhead,19.26,223.91,3.11,0.24,,1
1956,5,1470,Canvasback,0,3397.75,2.43,0.46,,1
1956,6,1460,Redhead,0,138.93,3.11,0.24,,1
1956,6,1470,Canvasback,381.15,2601.43,2.43,0.46,,1
1956,7,1460,Redhead,44.94,124.16,3.11,0.24,,1
1956,7,1470,Canvasback,189.6,1373.06,2.43,0.46,,1
1956,8,1460,Redhead,0,0,3.09,0.24,,1
1956,8,1470,Canvasback,21.09,726.93,2.43,0.46,,1
1956,9,1460,Redhead,0,370.95,3.09,0.24,,1
1956,9,1470,Canvasback,274.78,5768.44,2.43,0.46,,1
1956,10,1460,Redhead,0,656.78,3.09,0.24,,1
1956,10,1470,Canvasback,478,2372,2.43,0.46,,1
1956,11,1460,Redhead,0,183.76,3.09,0.24,,1
1956,11,1470,Canvasback,429.5,5917.75,2.43,0.46,,1
1956,12,1460,Redhead,17.41,703.66,3.11,0.24,,1
1956,12,1470,Canvasback,11249.34,11503.32,2.59,0.46,,1
1956,13,1460,Redhead,0,0,3.11,0.24,,0
1956,13,1470,Canvasback,0,0,2.59,0.46,,0
1956,14,1460,Redhead,0,0,3.11,0.24,,0
1956,14,1470,Canvasback,0,0,2.59,0.46,,0
1956,15,1460,Redhead,0,978.59,3.11,0.24,,3
1956,15,1470,Canvasback,0,5475.96,2.59,0.46,,3
1956,16,1460,Redhead,0,0,3.11,0.24,,0
1956,16,1470,Canvasback,0,0,2.59,0.46,,0
1956,17,1460,Redhead,0,0,3.11,0.24,,0
1956,17,1470,Canvasback,0,0,2.59,0.46,,0
1956,18,1460,Redhead,0,0,3.11,0.24,,0
1956,18,1470,Canvasback,0,0,2.59,0.46,,0
1956,20,1460,Redhead,16685,3522,3.11,0.24,,0
1956,20,1470,Canvasback,11758,4171,2.59,0.46,,0
1956,21,1460,Redhead,0,0,3.11,0.24,,0
1956,21,1470,Canvasback,0,0,2.59,0.46,,0
1956,22,1460,Redhead,0,0,3.11,0.24,,0
1956,22,1470,Canvasback,12968,12202,2.59,0.46,,0
1956,23,1460,Redhead,0,0,3.11,0.24,,0
1956,23,1470,Canvasback,0,0,2.59,0.46,,0
1956,24,1460,Redhead,0,0,3.11,0.24,,0
1956,24,1470,Canvasback,9487,10085,2.59,0.46,,0
1956,25,1460,Redhead,16487,13280,3.11,0.24,,0
1956,25,1470,Canvasback,18961,7996,2.59,0.46,,0
1956,26,1460,Redhead,80372,14269,4.16,0.53,,0
1956,26,1470,Canvasback,67354,16201,2.82,0.37,,0
1956,27,1460,Redhead,29082,10129,4.16,0.53,,0
1956,27,1470,Canvasback,10041,4063,2.82,0.37,,0
1956,28,1460,Redhead,17561,6799,4.16,0.53,,0
1956,28,1470,Canvasback,7369,4019,2.82,0.37,,0
1956,29,1460,Redhead,18675,9045,4.16,0.53,,0
1956,29,1470,Canvasback,13969,9621,2.82,0.37,,0
1956,30,1460,Redhead,62376,22779,5.84,0.99,,0
1956,30,1470,Canvasback,39519,12379,2.96,0.41,,0
1956,31,1460,Redhead,181521,72726,5.84,0.99,,0
1956,31,1470,Canvasback,147021,65943,2.96,0.41,,0
1956,32,1460,Redhead,136622,41144,5.84,0.99,,0
1956,32,1470,Canvasback,100572,19006,2.96,0.41,,0
1956,33,1460,Redhead,11779,6094,5.84,0.99,,0
1956,33,1470,Canvasback,25372,9404,2.96,0.41,,0
1956,34,1460,Redhead,34256,8812,4.14,0.62,,0
1956,34,1470,Canvasback,56653,17060,2.37,0.46,,0
1956,35,1460,Redhead,22584,9460,4.14,0.62,,0
1956,35,1470,Canvasback,28239,6548,2.37,0.46,,0
1956,36,1460,Redhead,0,2595.51,4.14,0.62,,3
1956,36,1470,Canvasback,0,3277.62,2.37,0.46,,3
1956,37,1460,Redhead,22303,8275,4.14,0.62,,0
1956,37,1470,Canvasback,10214,3813,2.37,0.46,,0
1956,38,1460,Redhead,0,0,4.14,0.62,,0
1956,38,1470,Canvasback,496,378,2.37,0.46,,0
1956,39,1460,Redhead,13851,5482,4.14,0.62,,0
1956,39,1470,Canvasback,20044,5045,2.37,0.46,,0
1956,40,1460,Redhead,17306,4257,4.14,0.62,,0
1956,40,1470,Canvasback,29932,7817,2.37,0.46,,0
1956,41,1460,Redhead,4517.89,5217.26,1.61,0.53,,1
1956,41,1470,Canvasback,8292.16,4948.65,2.02,0.7,,1
1956,42,1460,Redhead,0,4003.53,1.61,0.53,,1
1956,42,1470,Canvasback,0,2407.72,2.02,0.7,,1
1956,43,1460,Redhead,0,3660.11,1.61,0.53,,1
1956,43,1470,Canvasback,0,2846.8,2.02,0.7,,1
1956,44,1460,Redhead,114.93,1685.99,1.61,0.53,,1
1956,44,1470,Canvasback,0,1839.37,2.02,0.7,,1
1956,45,1460,Redhead,12423.53,49775.21,8.77,1.28,,1
1956,45,1470,Canvasback,5920.59,13476.87,1.97,0.31,,1
1956,46,1460,Redhead,0,35743.55,8.77,1.28,,1
1956,46,1470,Canvasback,7057.19,6811.42,1.97,0.31,,1
1956,47,1460,Redhead,802.34,3003.91,8.77,1.28,,1
1956,47,1470,Canvasback,43.89,700.23,1.97,0.31,,1
1956,48,1460,Redhead,8285.41,37417.42,8.77,1.28,,1
1956,48,1470,Canvasback,2331.38,5590.52,1.97,0.31,,1
1956,49,1460,Redhead,0,10202.79,8.77,1.28,,1
1956,49,1470,Canvasback,0,1581.74,1.97,0.31,,1
1956,50,1460,Redhead,0,0,3.11,0.24,,0
1956,50,1470,Canvasback,0,0,2.59,0.46,,0
1956,75,1460,Redhead,4289.17,8390.46,3.11,0.24,,1
1956,75,1470,Canvasback,7521.89,15058.75,2.59,0.46,,1
1956,76,1460,Redhead,34565.11,16011.89,3.11,0.24,,1
1956,76,1470,Canvasback,476.31,12658.72,2.59,0.46,,1
1956,77,1460,Redhead,10779.63,11038.28,3.11,0.24,,1
1956,77,1470,Canvasback,6649.63,8649.9,2.59,0.46,,1
1957,1,1460,Redhead,0,0,3.11,0.24,,0
1957,1,1470,Canvasback,0,0,2.43,0.46,,0
1957,2,1460,Redhead,0,0,3.11,0.24,,0
1957,2,1470,Canvasback,0,0,2.43,0.46,,0
1957,3,1460,Redhead,0,0,3.11,0.24,,0
1957,3,1470,Canvasback,2694,1360,2.43,0.46,,0
1957,4,1460,Redhead,0,0,3.11,0.24,,0
1957,4,1470,Canvasback,49266,16692,2.43,0.46,,0
1957,5,1460,Redhead,0,0,3.11,0.24,,0
1957,5,1470,Canvasback,0,0,2.43,0.46,,0
1957,6,1460,Redhead,0,0,3.11,0.24,,0
1957,6,1470,Canvasback,499,448,2.43,0.46,,0
1957,7,1460,Redhead,45.71,123.66,3.11,0.24,,1
1957,7,1470,Canvasback,224.97,1367.1,2.43,0.46,,1
1957,8,1460,Redhead,0,0,3.09,0.24,,0
1957,8,1470,Canvasback,0,0,2.43,0.46,,0
1957,9,1460,Redhead,0,0,3.09,0.24,,0
1957,9,1470,Canvasback,0,0,2.43,0.46,,0
1957,10,1460,Redhead,0,0,3.09,0.24,,0
1957,10,1470,Canvasback,0,0,2.43,0.46,,0
1957,11,1460,Redhead,0,0,3.09,0.24,,0
1957,11,1470,Canvasback,1860,1806,2.43,0.46,,0
1957,12,1460,Redhead,0,0,3.11,0.24,,0
