AOU,Species,Season,FWNo,Flyway,AgeCode,Age,SexCode,Sex,Harvest_estimate,Number_parts
1460,REDH,1961,1,AF,1,A,4,M,29,1
1460,REDH,1961,1,AF,1,A,5,F,382,2
1460,REDH,1961,1,AF,2,I,5,F,373,4
1460,REDH,1961,2,MF,0,U,0,U,103,1
1460,REDH,1961,2,MF,1,A,4,M,140,1
1460,REDH,1961,2,MF,1,A,5,F,269,4
1460,REDH,1961,2,MF,2,I,4,M,486,4
1460,REDH,1961,2,MF,2,I,5,F,694,5
1460,REDH,1961,3,CF,0,U,0,U,460,3
1460,REDH,1961,3,CF,1,A,4,M,129,2
1460,REDH,1961,3,CF,1,A,5,F,576,9
1460,REDH,1961,3,CF,2,I,0,U,258,1
1460,REDH,1961,3,CF,2,I,4,M,472,4
1460,REDH,1961,3,CF,2,I,5,F,471,7
1460,REDH,1961,4,PF,0,U,0,U,129,1
1460,REDH,1961,4,PF,0,U,5,F,129,1
1460,REDH,1961,4,PF,1,A,5,F,664,6
1460,REDH,1961,4,PF,2,I,4,M,540,2
1460,REDH,1961,4,PF,2,I,5,F,2293,11
1460,REDH,1962,1,AF,0,U,5,F,67,1
1460,REDH,1962,1,AF,1,A,5,F,202,3
1460,REDH,1962,1,AF,2,I,4,M,31,1
1460,REDH,1962,1,AF,2,I,5,F,250,5
1460,REDH,1962,2,MF,1,A,0,U,100,1
1460,REDH,1962,2,MF,1,A,4,M,57,1
1460,REDH,1962,2,MF,1,A,5,F,48,1
1460,REDH,1962,2,MF,2,I,4,M,787,15
1460,REDH,1962,2,MF,2,I,5,F,1313,23
1460,REDH,1962,3,CF,1,A,5,F,136,3
1460,REDH,1962,3,CF,2,I,4,M,209,4
1460,REDH,1962,3,CF,2,I,5,F,861,17
1460,REDH,1962,4,PF,0,U,0,U,178,2
1460,REDH,1962,4,PF,0,U,5,F,128,1
1460,REDH,1962,4,PF,1,A,4,M,170,2
1460,REDH,1962,4,PF,1,A,5,F,355,5
1460,REDH,1962,4,PF,2,I,0,U,29,1
1460,REDH,1962,4,PF,2,I,4,M,1327,13
1460,REDH,1962,4,PF,2,I,5,F,1956,24
1460,REDH,1963,1,AF,0,U,0,U,29,1
1460,REDH,1963,1,AF,0,U,4,M,68,1
1460,REDH,1963,1,AF,0,U,5,F,68,1
1460,REDH,1963,1,AF,1,A,5,F,274,5
1460,REDH,1963,1,AF,2,I,0,U,104,1
1460,REDH,1963,1,AF,2,I,4,M,262,3
1460,REDH,1963,1,AF,2,I,5,F,699,12
1460,REDH,1963,2,MF,0,U,0,U,34,1
1460,REDH,1963,2,MF,1,A,4,M,105,1
1460,REDH,1963,2,MF,1,A,5,F,434,6
1460,REDH,1963,2,MF,2,I,4,M,1183,17
1460,REDH,1963,2,MF,2,I,5,F,2503,27
1460,REDH,1963,3,CF,0,U,0,U,142,3
1460,REDH,1963,3,CF,0,U,5,F,99,1
1460,REDH,1963,3,CF,1,A,4,M,209,2
1460,REDH,1963,3,CF,1,A,5,F,408,7
1460,REDH,1963,3,CF,2,I,4,M,405,6
1460,REDH,1963,3,CF,2,I,5,F,2377,41
1460,REDH,1963,4,PF,0,U,0,U,582,6
1460,REDH,1963,4,PF,0,U,5,F,209,2
1460,REDH,1963,4,PF,1,A,4,M,115,1
1460,REDH,1963,4,PF,1,A,5,F,1012,8
1460,REDH,1963,4,PF,2,I,4,M,1708,22
1460,REDH,1963,4,PF,2,I,5,F,4725,47
1460,REDH,1964,1,AF,0,U,0,U,166,3
1460,REDH,1964,1,AF,0,U,5,F,70,2
1460,REDH,1964,1,AF,1,A,4,M,3939,85
1460,REDH,1964,1,AF,1,A,5,F,1925,41
1460,REDH,1964,1,AF,2,I,4,M,1490,31
1460,REDH,1964,1,AF,2,I,5,F,1868,35
1460,REDH,1964,2,MF,0,U,0,U,2526,22
1460,REDH,1964,2,MF,0,U,4,M,408,2
1460,REDH,1964,2,MF,0,U,5,F,712,5
1460,REDH,1964,2,MF,1,A,4,M,8798,111
1460,REDH,1964,2,MF,1,A,5,F,9289,85
1460,REDH,1964,2,MF,2,I,0,U,72,1
1460,REDH,1964,2,MF,2,I,4,M,12133,113
1460,REDH,1964,2,MF,2,I,5,F,12664,115
1460,REDH,1964,3,CF,0,U,0,U,766,21
1460,REDH,1964,3,CF,0,U,4,M,199,4
1460,REDH,1964,3,CF,0,U,5,F,293,6
1460,REDH,1964,3,CF,1,A,4,M,8947,159
1460,REDH,1964,3,CF,1,A,5,F,6398,115
1460,REDH,1964,3,CF,2,I,0,U,36,1
1460,REDH,1964,3,CF,2,I,4,M,7638,131
1460,REDH,1964,3,CF,2,I,5,F,8740,157
1460,REDH,1964,4,PF,0,U,0,U,616,10
1460,REDH,1964,4,PF,0,U,4,M,215,1
1460,REDH,1964,4,PF,0,U,5,F,355,4
1460,REDH,1964,4,PF,1,A,4,M,6627,96
1460,REDH,1964,4,PF,1,A,5,F,3539,60
1460,REDH,1964,4,PF,2,I,4,M,8250,146
1460,REDH,1964,4,PF,2,I,5,F,8310,128
1460,REDH,1965,1,AF,0,U,0,U,968,17
1460,REDH,1965,1,AF,1,A,4,M,3872,75
1460,REDH,1965,1,AF,1,A,5,F,1809,34
1460,REDH,1965,1,AF,2,I,4,M,3807,76
1460,REDH,1965,1,AF,2,I,5,F,3740,75
1460,REDH,1965,2,MF,0,U,0,U,3324,14
1460,REDH,1965,2,MF,0,U,4,M,206,1
1460,REDH,1965,2,MF,0,U,5,F,685,4
1460,REDH,1965,2,MF,1,A,4,M,7505,41
1460,REDH,1965,2,MF,1,A,5,F,9209,40
1460,REDH,1965,2,MF,2,I,4,M,26567,123
1460,REDH,1965,2,MF,2,I,5,F,18405,94
1460,REDH,1965,3,CF,0,U,0,U,1253,17
1460,REDH,1965,3,CF,0,U,4,M,42,1
1460,REDH,1965,3,CF,0,U,5,F,463,3
1460,REDH,1965,3,CF,1,A,0,U,42,1
1460,REDH,1965,3,CF,1,A,4,M,9004,80
1460,REDH,1965,3,CF,1,A,5,F,7934,62
1460,REDH,1965,3,CF,2,I,4,M,29659,230
1460,REDH,1965,3,CF,2,I,5,F,19174,171
1460,REDH,1965,4,PF,0,U,0,U,1199,11
1460,REDH,1965,4,PF,0,U,4,M,336,2
1460,REDH,1965,4,PF,0,U,5,F,625,5
1460,REDH,1965,4,PF,1,A,4,M,4578,41
1460,REDH,1965,4,PF,1,A,5,F,3630,32
1460,REDH,1965,4,PF,2,I,0,U,55,1
1460,REDH,1965,4,PF,2,I,4,M,17049,150
1460,REDH,1965,4,PF,2,I,5,F,12301,125
1460,REDH,1966,1,AF,0,U,0,U,230,4
1460,REDH,1966,1,AF,0,U,4,M,241,1
1460,REDH,1966,1,AF,0,U,5,F,67,1
1460,REDH,1966,1,AF,1,A,4,M,7549,67
1460,REDH,1966,1,AF,1,A,5,F,1672,23
1460,REDH,1966,1,AF,2,I,4,M,5824,63
1460,REDH,1966,1,AF,2,I,5,F,5628,73
1460,REDH,1966,2,MF,0,U,0,U,2858,15
1460,REDH,1966,2,MF,0,U,4,M,1611,7
1460,REDH,1966,2,MF,0,U,5,F,342,1
1460,REDH,1966,2,MF,1,A,4,M,11246,84
1460,REDH,1966,2,MF,1,A,5,F,9043,57
1460,REDH,1966,2,MF,2,I,0,U,425,2
1460,REDH,1966,2,MF,2,I,4,M,35759,181
1460,REDH,1966,2,MF,2,I,5,F,34752,172
1460,REDH,1966,3,CF,0,U,0,U,3325,55
1460,REDH,1966,3,CF,0,U,4,M,102,1
1460,REDH,1966,3,CF,0,U,5,F,549,3
1460,REDH,1966,3,CF,1,A,4,M,12427,86
1460,REDH,1966,3,CF,1,A,5,F,7646,54
1460,REDH,1966,3,CF,2,I,0,U,252,1
1460,REDH,1966,3,CF,2,I,4,M,22216,168
1460,REDH,1966,3,CF,2,I,5,F,28129,202
1460,REDH,1966,4,PF,0,U,0,U,672,6
1460,REDH,1966,4,PF,0,U,4,M,224,1
1460,REDH,1966,4,PF,0,U,5,F,746,4
1460,REDH,1966,4,PF,1,A,4,M,3707,33
1460,REDH,1966,4,PF,1,A,5,F,3789,31
1460,REDH,1966,4,PF,2,I,4,M,9749,66
1460,REDH,1966,4,PF,2,I,5,F,8461,63
1460,REDH,1967,1,AF,0,U,0,U,1081,14
1460,REDH,1967,1,AF,1,A,4,M,4260,54
1460,REDH,1967,1,AF,1,A,5,F,2135,26
1460,REDH,1967,1,AF,2,I,4,M,3434,43
1460,REDH,1967,1,AF,2,I,5,F,3522,46
1460,REDH,1967,2,MF,0,U,0,U,10981,46
1460,REDH,1967,2,MF,0,U,5,F,359,1
1460,REDH,1967,2,MF,1,A,4,M,21032,119
1460,REDH,1967,2,MF,1,A,5,F,14739,77
1460,REDH,1967,2,MF,2,I,4,M,21385,103
1460,REDH,1967,2,MF,2,I,5,F,23150,101
1460,REDH,1967,3,CF,0,U,0,U,3011,29
1460,REDH,1967,3,CF,0,U,4,M,303,2
1460,REDH,1967,3,CF,0,U,5,F,554,2
1460,REDH,1967,3,CF,1,A,4,M,26122,167
1460,REDH,1967,3,CF,1,A,5,F,14566,100
1460,REDH,1967,3,CF,2,I,4,M,27374,160
1460,REDH,1967,3,CF,2,I,5,F,22734,143
1460,REDH,1967,4,PF,0,U,0,U,1287,8
1460,REDH,1967,4,PF,1,A,4,M,3711,25
1460,REDH,1967,4,PF,1,A,5,F,6471,38
1460,REDH,1967,4,PF,2,I,4,M,11911,80
1460,REDH,1967,4,PF,2,I,5,F,14009,85
1460,REDH,1968,1,AF,1,A,4,M,1840,13
1460,REDH,1968,1,AF,1,A,5,F,867,9
1460,REDH,1968,1,AF,2,I,4,M,599,5
