SiteName,Year,Month,Time,Salinity,Latitude,Longitude,Grid.Lat,Grid.Long,Unique,Depth,Flow,PREC,AMO,NAO,ACE,AMO6,NAO6,FLOW6,PREC6
LAGUNA MADRE SOUTH OF BAFFIN BAY IN YARBROUGH AREA FROM FIXED ICWW NAVIGATION MARKER 51 STEER 104 DEGREES FOR 3.134 KM,2002,5,2002_5,28,27.166555,-97.401855,27.2,-97.4,27.2_-97.4,0.3,-28832.2,35.4,-0.053,1.9,110.1,0.1095,0.516666667,-73056.2,21.05
LAGUNA MADRE SOUTH OF BAFFIN BAY IN YARBROUGH AREA FROM FIXED NAVIGATION MARKER 51 STEER 068 DEGREES FOR 1.493 KM,2001,8,2001_8,13,27.178612,-97.418335,27.2,-97.4,27.2_-97.4,0.3,47715.2,149.9,0.173,0.6,110.1,0.079666667,-0.35,153500.2,75.46666667
LAGUNA MADRE SOUTH OF BAFFIN BAY IN YARBROUGH AREA FROM FIXED ICWW NAVIGATION MARKER 51 STEER 074 DEGREES FOR 2.729 KM,2001,11,2001_11,11,27.180277,-97.40583,27.2,-97.4,27.2_-97.4,0.3,191459.1,249.4,0.152,1.4,110.1,0.1965,-0.25,449300.8,102.6166667
LAGUNA MADRE SOUTH OF BAFFIN BAY IN YARBROUGH AREA FROM FIXED ICWW NAVIGATION MARKER 27 STEER 114 DEGREES FOR 0.393 KM,2001,9,2001_9,72,27.222389,-97.418282,27.2,-97.4,27.2_-97.4,0.3,146068,45.9,0.282,-2.8,110.1,0.125,-0.566666667,284573.9,66.18333333
LAGUNA MADRE SOUTH OF BAFFIN BAY IN YARBROUGH AREA FROM FIXED ICWW NAVIGATION MARKER 27 STEER 138 DEGREES FOR 1.209 KM,2001,11,2001_11,8,27.215612,-97.413887,27.2,-97.4,27.2_-97.4,0.3,191459.1,249.4,0.152,1.4,110.1,0.1965,-0.25,449300.8,102.6166667
LAGUNA MADRE SOUTH OF BAFFIN BAY IN YARBROUGH AREA FROM FIXED ICWW NAVIGATION MARKER 27 STEER 170 DEGREES FOR 0.219 KM,2002,5,2002_5,7,27.221916,-97.421524,27.2,-97.4,27.2_-97.4,0.3,-28832.2,35.4,-0.053,1.9,110.1,0.1095,0.516666667,-73056.2,21.05
LAGUNA MADRE SOUTH OF BAFFIN BAY IN YARBROUGH AREA FROM FIXED ICWW NAVIGATION MARKER 21 STEER 126 DEGREES FOR 0.386 KM,2002,2,2002_2,25,27.233528,-97.416,27.2,-97.4,27.2_-97.4,0.3,-14356.5,32.1,0.161,1.7,110.1,0.204666667,-0.4,350275.7,67.51666667
BAFFIN BAY FROM FIXED BAFFIN BAY NAVIGATION MARKER 12 STEER 185 DEGREES FOR 1.931 KM,2002,5,2002_5,4,27.252333,-97.482361,27.3,-97.5,27.3_-97.5,0.3,-28832.2,35.4,-0.053,1.9,110.1,0.1095,0.516666667,-73056.2,21.05
BAFFIN BAY AT CM 52,1969,11,1969_11,41,27.262501,-97.570831,27.3,-97.6,27.3_-97.6,0.3,15000,207,-0.127,-0.6,165.7,-0.069,0.383333333,127000,87.78333333
BAFFIN BAY AT CM 52,1970,9,1970_9,84,27.262501,-97.570831,27.3,-97.6,27.3_-97.6,0.3,79000,170.4,-0.141,0.3,40.2,-0.117833333,0.45,341000,72.76666667
BAFFIN BAY AT CM 52,1970,12,1970_12,27,27.262501,-97.570831,27.3,-97.6,27.3_-97.6,0.3,17000,13,-0.213,-1.5,40.2,-0.190666667,-0.483333333,281000,61.35
BAFFIN BAY AT CM 52,1971,9,1971_9,17,27.262501,-97.570831,27.3,-97.6,27.3_-97.6,0.3,589000,293.9,-0.369,-1.8,96.8,-0.378666667,-0.466666667,710000,97.23333333
BAFFIN BAY AT CM 52,1971,12,1971_12,122,27.262501,-97.570831,27.3,-97.6,27.3_-97.6,0.3,26000,91.5,-0.311,0.8,96.8,-0.325833333,0,1087000,115.4666667
BAFFIN BAY AT CM 52,1971,12,1971_12,141,27.262501,-97.570831,27.3,-97.6,27.3_-97.6,0.3,26000,91.5,-0.311,0.8,96.8,-0.325833333,0,1087000,115.4666667
BAFFIN BAY AT CM 52,1972,4,1972_4,76,27.262501,-97.570831,27.3,-97.6,27.3_-97.6,0.3,33000,145.5,-0.329,1.2,96.8,-0.338666667,0.866666667,254000,71.6
BAFFIN BAY AT CM 52,1972,7,1972_7,97,27.262501,-97.570831,27.3,-97.6,27.3_-97.6,0.3,38000,104.5,-0.378,-0.8,35.6,-0.415833333,1.316666667,488000,116.3166667
BAFFIN BAY AT CM 52,1972,10,1972_10,27,27.262501,-97.570831,27.3,-97.6,27.3_-97.6,0.3,24000,42.2,-0.289,-1.4,35.6,-0.387,0.1,397000,140.05
BAFFIN BAY AT CM 52,1973,1,1973_1,163,27.262501,-97.570831,27.3,-97.6,27.3_-97.6,0.3,35000,59.3,-0.377,0.5,35.6,-0.332,-0.15,146000,95.65
BAFFIN BAY AT CM 52,1973,4,1973_4,95,27.262501,-97.570831,27.3,-97.6,27.3_-97.6,0.3,24000,38.7,-0.267,-3.3,35.6,-0.336833333,0.566666667,256000,38.6
BAFFIN BAY AT CM 52,1973,7,1973_7,15,27.262501,-97.570831,27.3,-97.6,27.3_-97.6,0.3,63000,6.9,-0.106,0.5,47.9,-0.244333333,0.25,504000,52.91666667
BAFFIN BAY FROM FIXED ICWW NAVIGATION MARKER 34,2001,11,2001_11,15,27.255028,-97.613724,27.3,-97.6,27.3_-97.6,0.3,191459.1,249.4,0.152,1.4,110.1,0.1965,-0.25,449300.8,102.6166667
BAFFIN BAY FROM FIXED BAFFIN BAY NAVIGATION MARKER 26 STEER 222 DEGREES FOR 0.118 KM,2002,2,2002_2,34,27.26136,-97.56575,27.3,-97.6,27.3_-97.6,0.3,-14356.5,32.1,0.161,1.7,110.1,0.204666667,-0.4,350275.7,67.51666667
LAGUNA SALADA FROM FIXED BAFFIN BAY NAVIGATION MARKER 40 STEER 255 DEGREES FOR 8.082 KM,2002,2,2002_2,40,27.264277,-97.718727,27.3,-97.7,27.3_-97.7,0.3,-14356.5,32.1,0.161,1.7,110.1,0.204666667,-0.4,350275.7,67.51666667
BAFFIN BAY AT CM 14,1973,10,1973_10,20,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,425000,245.5,-0.218,-1.1,47.9,-0.157333333,0.166666667,1052000,136.5666667
BAFFIN BAY AT CM 14,1974,1,1974_1,10,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,27000,45.7,-0.278,2.2,47.9,-0.203166667,0.066666667,820000,111.0166667
BAFFIN BAY AT CM 14,1974,4,1974_4,114,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,36000,1.8,-0.526,-0.4,47.9,-0.3245,0.333333333,205000,31.21666667
BAFFIN BAY AT CM 14,1974,7,1974_7,113,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,24000,12.5,-0.517,1.1,68.4,-0.4475,0.133333333,214000,61.45
BAFFIN BAY AT CM 14,1974,10,1974_10,122,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,87000,68.4,-0.51,-0.1,68.4,-0.492833333,0.116666667,335000,78.51666667
BAFFIN BAY AT CM 14,1975,1,1975_1,33,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,31000,54,-0.275,1.3,68.4,-0.425666667,0.8,334000,56.13333333
BAFFIN BAY AT CM 14,1975,4,1975_4,296,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,28000,6.8,-0.348,0.1,68.4,-0.3445,0.516666667,165000,29.8
BAFFIN BAY AT CM 14,1975,7,1975_7,54,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,88000,73.6,-0.274,-0.7,76.1,-0.327333333,-0.566666667,278000,42.08333333
BAFFIN BAY AT CM 14,1975,10,1975_10,22,27.268333,-97.510002,27.3,-97.5,27.3_-97.5,0.3,32000,91.7,-0.356,-1,76.1,-0.307333333,-0.333333333,636000,105.3
